,country,latitude,longitude,name,sales,geometry
0,AUS,-25.274398,133.775136,Australia,47744,POINT (133.775136 -25.274398)
1,BEL,50.503887,4.469936,Belgium,185382,POINT (4.469936 50.503887)
2,BRA,-14.235004,-51.92528,Brazil,12818,POINT (-51.92528 -14.235004)
3,CAN,56.130366,-106.346771,Canada,288757,POINT (-106.346771 56.130366)
4,CHL,-35.675147,-71.542969,Chile,1465,POINT (-71.542969 -35.675147)
5,CHN,35.86166,104.195397,China,9003349,POINT (104.195397 35.86166)
6,DNK,56.26392,9.501785,Denmark,127214,POINT (9.501785 56.26392)
7,FIN,61.92411,25.748151,Finland,68389,POINT (25.748151 61.92411)
8,FRA,46.227638,2.213749,France,794257,POINT (2.213749 46.227638)
9,DEU,51.165691,10.451526,Germany,1425658,POINT (10.451526 51.165691)
10,GRC,39.074208,21.824312,Greece,10446,POINT (21.824312 39.074208)
11,ISL,64.963051,-19.020835,Iceland,25693,POINT (-19.020835 64.96305099999999)
12,IND,20.593684,78.96288,India,22080,POINT (78.96288 20.593684)
13,IDN,-0.789275,113.921327,Indonesia,0,POINT (113.921327 -0.7892749999999999)
14,ITA,41.87194,12.56738,Italy,247078,POINT (12.56738 41.87194)
15,JPN,36.204824,138.252924,Japan,377213,POINT (138.252924 36.204824)
16,MEX,23.634501,-102.552784,Mexico,298553,POINT (-102.552784 23.634501)
17,NLD,52.132633,5.291266,Netherlands,11538,POINT (5.291266 52.132633)
18,NZL,-40.900557,174.885971,New Zealand,408838,POINT (174.885971 -40.900557)
19,NOR,60.472024,8.468946,Norway,34492,POINT (8.468946000000001 60.472024)
20,POL,51.919438,19.145136,Poland,596519,POINT (19.145136 51.919438)
21,PRT,39.399872,-8.224454,Portugal,39424,POINT (-8.224454 39.399872)
22,ZAF,-30.559482,22.937506,South Africa,80398,POINT (22.937506 -30.559482)
23,KOR,37.5326,127.024612,South Korea,1748,POINT (127.024612 37.5326)
24,ESP,40.463667,-3.74922,Spain,166420,POINT (-3.74922 40.463667)
25,SWE,60.128161,18.643501,Sweden,359949,POINT (18.643501 60.128161)
26,CHE,46.818188,8.227512,Switzerland,143807,POINT (8.227512000000001 46.818188)
27,THA,15.870032,100.992541,Thailand,0,POINT (100.992541 15.870032)
28,GBR,55.378051,-3.435973,United Kingdom,781271,POINT (-3.435973 55.378051)
29,USA,37.09024,-95.712891,United States,2373985,POINT (-95.712891 37.09024)
